Price,Dprice,P1Cash,P2Cash,P1Stock,P2Stock,P1Value,P2Value,P1Asset,P2Asset,P1Decision,P2Decision
106.9238352635821,0,10260.458198276583,10366.174030311247,7,7,855.3906821086568,641.5430115814927,11035.380427042544,11244.71317160068,N,S
100.50840514776718,-6.415430115814926,10260.458198276583,10473.09786557483,7,6,748.4668468450748,748.4668468450748,11115.84888038524,11007.71704189274,S,N
94.47790083890115,-6.03050430886603,10360.966603424351,10473.09786557483,6,6,703.5588360343702,603.0504308866031,11008.925045121658,11221.564712419904,N,N
94.47790083890115,0,10360.966603424351,10473.09786557483,6,6,566.8674050334068,566.8674050334068,11064.525439458721,11076.148296461433,B,B
99.2017958808462,4.723895041945058,10266.48870258545,10378.619964735928,7,7,566.8674050334068,566.8674050334068,10927.834008457758,11039.965270608236,B,S
99.2017958808462,0,10167.286906704603,10477.821760616775,8,6,694.4125711659234,694.4125711659234,10833.356107618856,10945.487369769335,N,N
99.2017958808462,0,10167.286906704603,10477.821760616775,8,6,793.6143670467696,595.2107752850773,10861.699477870527,11172.234331782698,B,B
104.16188567488851,4.960089794042311,10068.085110823757,10378.619964735928,9,7,793.6143670467696,595.2107752850773,10960.901273751373,11073.032535901852,B,S
104.16188567488851,0,9963.923225148868,10482.781850410816,10,6,937.4569710739966,729.1331997242196,10861.699477870527,10973.830740021005,N,B
107.28674224513516,3.124856570246655,9963.923225148868,10378.619964735928,10,7,1041.618856748885,624.9713140493311,10901.380196222864,11211.915050135036,B,S
107.28674224513516,0,9856.636482903734,10485.906706981063,11,6,1072.8674224513516,751.0071957159461,11005.542081897753,11003.59127878526,S,B
107.28674224513516,0,9963.923225148868,10378.619964735928,10,7,1180.1541646964868,643.720453470811,10929.503905355086,11236.913902697008,S,N
100.84953771042704,-6.437204534708109,10071.209967394003,10378.619964735928,9,7,1072.8674224513516,751.0071957159461,11144.077389845355,11022.340418206739,S,N
